match,name,win
3494,rrreav,1
3494,617222,0
3498,rrreav,1
3498,617222,0
3500,Nons3ns3,1
3500,webfaster,0
3501,zzzeD,1
3501,rrreav,0
3503,Nons3ns3,1
3503,webfaster,0
3540,617222,1
3540,gidi110,0
3544,617222,1
3544,gidi110,0
3548,617222,1
3548,gidi110,0
3556,zzzeD,1
3556,617222,0
3559,zzzeD,1
3559,617222,0
3564,rrreav,1
3564,zzzeD,0
3569,zzzeD,1
3569,rrreav,0
3570,rrreav,1
3570,zzzeD,0
3575,pOwNx,1
3575,K.i.ll.a.h.s,0
3585,Astem,1
3585,ᨏyŕöalFW5,0
3589,Astem,1
3589,ᨏyŕöalFW5,0
3592,Astem,1
3592,ᨏyŕöalFW5,0
3597,hipp0,1
3597,gidi110,0
3599,hipp0,1
3599,gidi110,0
3602,hipp0,1
3602,gidi110,0
3606,hipp0,1
3606,gidi110,0
3608,gidi110,1
3608,hipp0,0
3610,hipp0,1
3610,gidi110,0
3729,OWmasterrace,1
3729,pizza_microwave,0
3730,pizza_microwave,1
3730,OWmasterrace,0
3734,OWmasterrace,1
3734,pizza_microwave,0
3807,pOwNx,1
3807,2B2-A2-9S,0
3812,pOwNx,1
3812,2B2-A2-9S,0
3818,pOwNx,1
3818,2B2-A2-9S,0
3821,zzzeD,1
3821,rrreav,0
3823,zzzeD,1
3823,rrreav,0
3829,rrreav,1
3829,zzzeD,0
3834,zzzeD,1
3834,rrreav,0
3836,zzzeD,1
3836,rrreav,0
3842,rrreav,1
3842,zzzeD,0
3855,rrreav,1
3855,HYEGUYS,0
3859,pennsylvania-,1
3859,OWmasterrace,0
3862,rrreav,1
3862,HYEGUYS,0
3866,rrreav,1
3866,HYEGUYS,0
3874,ᨏyŕöalFW5,1
3874,Astem,0
3880,Astem,1
3880,ᨏyŕöalFW5,0
3887,Astem,1
3887,ᨏyŕöalFW5,0
3893,Astem,1
3893,ᨏyŕöalFW5,0
3952,Neatz09,1
3952,Gamecrypt,0
3957,Neatz09,1
3957,Gamecrypt,0
3959,Neatz09,1
3959,Gamecrypt,0
3962,Neatz09,1
3962,Gamecrypt,0
3967,Neatz09,1
3967,Gamecrypt,0
3968,Neatz09,1
3968,Gamecrypt,0
3972,Neatz09,1
3972,Gamecrypt,0
3973,Neatz09,1
3973,Gamecrypt,0
4036,Astem,1
4036,pizza_microwave,0
4040,Astem,1
4040,pizza_microwave,0
4042,Astem,1
4042,pizza_microwave,0
4049,Astem,1
4049,pizza_microwave,0
4090,pOwNx,1
4090,Kevlar_,0
4093,s1aY,1
4093,Flоw,0
4099,s1aY,1
4099,pOwNx,0
4104,s1aY,1
4104,pOwNx,0
4110,s1aY,1
4110,pOwNx,0
4130,ᨏyŕöalFW5,1
4130,EvilBork,0
4136,ᨏyŕöalFW5,1
4136,EvilBork,0
4149,ᨏyŕöalFW5,1
4149,EvilBork,0
4154,Astem,1
4154,ᨏyŕöalFW5,0
4158,Astem,1
4158,ᨏyŕöalFW5,0
4164,Astem,1
4164,ᨏyŕöalFW5,0
4171,Marschi_Black,1
4171,Amergedon,0
4174,Marschi_Black,1
4174,Amergedon,0
4271,thdvlzfce,1
4271,vmp1r3.,0
4275,thdvlzfce,1
4275,vmp1r3.,0
4277,thdvlzfce,1
4277,vmp1r3.,0
4278,thdvlzfce,1
4278,vmp1r3.,0
4299,vmp1r3.,1
4299,ANIX,0
4302,vmp1r3.,1
4302,ANIX,0
4347,Nons3ns3,1
4347,pizza_microwave,0
4349,M-ac,1
4349,Spiixy,0
4353,Nons3ns3,1
4353,pizza_microwave,0
4354,M-ac,1
4354,Spiixy,0
4360,Nons3ns3,1
4360,pizza_microwave,0
4371,pOwNx,1
4371,Nons3ns3,0
4376,pOwNx,1
4376,Nons3ns3,0
4379,The_Ficiente,1
4379,Merlin2010,0
4381,pOwNx,1
4381,Nons3ns3,0
4384,The_Ficiente,1
4384,Merlin2010,0
4388,ßòóm,1
4388,pOwNx,0
4396,pOwNx,1
4396,ßòóm,0
4398,rÌffågë,1
4398,ItsRamzi,0
4407,pOwNx,1
4407,ᨏyŕöalFW5,0
4413,pOwNx,1
4413,ᨏyŕöalFW5,0
4436,Enigmaomega,1
4436,ᨏyŕöalFW5,0
4443,Enigmaomega,1
4443,ᨏyŕöalFW5,0
4555,Nons3ns3,1
4555,Stán,0
4556,Nons3ns3,1
4556,Stán,0
4558,Nons3ns3,1
4558,Stán,0
4592,NubikRubik,1
4592,pizza_microwave,0
4594,NubikRubik,1
4594,pizza_microwave,0
4603,Nons3ns3,1
4603,NubikRubik,0
4607,Nons3ns3,1
4607,NubikRubik,0
4610,NubikRubik,1
4610,Nons3ns3,0
4613,ßòóm,1
4613,pizza_microwave,0
4615,ßòóm,1
4615,pizza_microwave,0
4626,LoD,1
4626,Stán,0
4632,LoD,1
4632,Stán,0
4637,LoD,1
4637,Stán,0
4643,LoD,1
4643,Stán,0
4661,SL_31,1
4661,The_Ficiente,0
4666,The_Ficiente,1
4666,SL_31,0
4671,SL_31,1
4671,The_Ficiente,0
4674,Matilda.,1
4674,pOwNx,0
4678,Matilda.,1
4678,pOwNx,0
4684,Matilda.,1
4684,pOwNx,0
4697,pOwNx,1
4697,ᨏyŕöalFW5,0
4707,ᨏyŕöalFW5,1
4707,pOwNx,0
4714,pOwNx,1
4714,ᨏyŕöalFW5,0
4721,ᨏyŕöalFW5,1
4721,pOwNx,0
4722,pennsylvania-,1
4722,Danko955,0
4728,pennsylvania-,1
4728,Danko955,0
4729,rrreav,1
4729,zzzeD,0
4732,pOwNx,1
4732,ᨏyŕöalFW5,0
4733,Danko955,1
4733,pennsylvania-,0
4737,zzzeD,1
4737,rrreav,0
4739,pennsylvania-,1
4739,Danko955,0
4742,ᨏyŕöalFW5,1
4742,pOwNx,0
4744,rrreav,1
4744,zzzeD,0
4745,pennsylvania-,1
4745,Danko955,0
4748,zzzeD,1
4748,rrreav,0
4749,pOwNx,1
4749,ᨏyŕöalFW5,0
4751,pennsylvania-,1
4751,a1f3r,0
4753,zzzeD,1
4753,rrreav,0
4755,a1f3r,1
4755,pennsylvania-,0
4759,rrreav,1
4759,zzzeD,0
4760,ßòóm,1
4760,BOSSBABOS,0
4764,rrreav,1
4764,zzzeD,0
4765,daimonless.,1
4765,OWmasterrace,0
4769,daimonless.,1
4769,OWmasterrace,0
4772,daimonless.,1
4772,OWmasterrace,0
4775,s1aY,1
4775,Bru7alGG,0
4778,daimonless.,1
4778,a1f3r,0
4780,s1aY,1
4780,Bru7alGG,0
4782,OWmasterrace,1
4782,a1f3r,0
4785,s1aY,1
4785,Bru7alGG,0
4787,a1f3r,1
4787,ANIYUR,0
4788,s1aY,1
4788,Bru7alGG,0
4791,s1aY,1
4791,Bru7alGG,0
4830,Neatz09,1
4830,Gamecrypt,0
4833,Neatz09,1
4833,Gamecrypt,0
4834,Neatz09,1
4834,Gamecrypt,0
4840,EnfeebledMind,1
4840,zàváge,0
4841,zàváge,1
4841,ŠTINKHAMMER,0
4855,WaZzALiCioS,1
4855,MiKEYvike,0
4862,ANIYUR,1
4862,Redflash,0
4864,ANIYUR,1
4864,Redflash,0
4867,ANIYUR,1
4867,Redflash,0
4869,ANIYUR,1
4869,Redflash,0
4896,Stán,1
4896,NikaMF,0
4909,Caronte.,1
4909,FrankØ.,0
4914,Caronte.,1
4914,FrankØ.,0
4917,Nixi,1
4917,LoD,0
4918,FrankØ.,1
4918,Caronte.,0
4925,pizza_microwave,1
4925,michpattat,0
4928,pizza_microwave,1
4928,michpattat,0
4932,Bru7alGG,1
4932,pizza_microwave,0
4935,Bru7alGG,1
4935,pizza_microwave,0
4938,Bru7alGG,1
4938,pizza_microwave,0
4946,s1aY,1
4946,OWmasterrace,0
4952,s1aY,1
4952,OWmasterrace,0
4955,s1aY,1
4955,OWmasterrace,0
4961,s1aY,1
4961,OWmasterrace,0
4968,s1aY,1
4968,Bru7alGG,0
4976,s1aY,1
4976,Bru7alGG,0
4981,s1aY,1
4981,Bru7alGG,0
4986,s1aY,1
4986,ANIYUR,0
4992,s1aY,1
4992,ANIYUR,0
4999,Walk1nDead,1
4999,ANIYUR,0
5004,Walk1nDead,1
5004,ANIYUR,0
5008,Walk1nDead,1
5008,ANIYUR,0
5059,Astem,1
5059,ᨏyŕöalFW5,0
5063,OWmasterrace,1
5063,NubikRubik,0
5068,a1f3r,1
5068,CaMSyS,0
5072,pennsylvania-,1
5072,Matilda.,0
5073,a1f3r,1
5073,CaMSyS,0
5079,Matilda.,1
5079,pennsylvania-,0
5087,pennsylvania-,1
5087,Matilda.,0
5094,pennsylvania-,1
5094,KaLevrBoyz,0
5095,ᨏyŕöalFW5,1
5095,gidi110,0
5101,ᨏyŕöalFW5,1
5101,gidi110,0
5104,ᨏyŕöalFW5,1
5104,gidi110,0
5110,ᨏyŕöalFW5,1
5110,gidi110,0
5137,elmagofer,1
5137,®unex,0
5156,POW3R.,1
5156,WaZzALiCioS,0
5160,WaZzALiCioS,1
5160,POW3R.,0
5162,POW3R.,1
5162,WaZzALiCioS,0
5165,POW3R.,1
5165,WaZzALiCioS,0
5168,POW3R.,1
5168,WaZzALiCioS,0
5172,POW3R.,1
5172,WaZzALiCioS,0
5174,POW3R.,1
5174,WaZzALiCioS,0
5177,POW3R.,1
5177,WaZzALiCioS,0
5179,POW3R.,1
5179,WaZzALiCioS,0
5181,POW3R.,1
5181,WaZzALiCioS,0
5182,WaZzALiCioS,1
5182,POW3R.,0
5185,POW3R.,1
5185,WaZzALiCioS,0
5187,POW3R.,1
5187,WaZzALiCioS,0
5190,POW3R.,1
5190,WaZzALiCioS,0
5207,Redflash,1
5207,rawnoiseee,0
5209,rawnoiseee,1
5209,Redflash,0
5213,Redflash,1
5213,rawnoiseee,0
5251,Bru7alGG,1
5251,Dad_Vitas,0
5256,Dad_Vitas,1
5256,Bru7alGG,0
5261,Bru7alGG,1
5261,Dad_Vitas,0
5264,Bru7alGG,1
5264,Dad_Vitas,0
5278,Karosz,1
5278,vmp1r3.,0
5282,Dad_Vitas,1
5282,FrankØ.,0
5283,Karosz,1
5283,vmp1r3.,0
5296,swizz_shooter,1
5296,NandoWHO,0
5298,NandoWHO,1
5298,swizz_shooter,0
5303,swizz_shooter,1
5303,NandoWHO,0
5309,swizz_shooter,1
5309,NandoWHO,0
5364,CaMSyS,1
5364,OWmasterrace,0
5369,CaMSyS,1
5369,Stán,0
5373,CaMSyS,1
5373,Stán,0
5379,CaMSyS,1
5379,Stán,0
5385,Bho03,1
5385,Tommmyzar07,0
5395,Bho03,1
5395,Tommmyzar07,0
5401,Bho03,1
